Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
336,Dmytro Bohdanov,ua UKR,MF,Union Berlin,de Bundesliga,18,2007,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
337,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23,2002,14,8,815,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Morgan Bokelé Mputu,cm CMR,MF,Metz,fr Ligue 1,21,2004,10,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
339,Hugo Bolin,se SWE,"MF,FW",Gladbach,de Bundesliga,22,2003,13,5,550,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
340,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,26,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
341,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25,2000,2,2,145,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
342,Javier Boñar,es ESP,DF,Atlético Madrid,es La Liga,20,2005,4,3,299,3.3,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
343,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28,1997,35,31,2510,27.9,10,1,11,7,3,3,4,0,0.36,0.04,0.39,0.25,0.29,Matches
344,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,21,2003,27,22,1762,19.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
345,Giovanni Bonfanti,it ITA,"DF,MF",Pisa,it Serie A,22,2003,9,6,494,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
346,Victor Boniface,ng NGA,FW,Werder Bremen,de Bundesliga,24,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,0.00,0.54,0.54,0.00,0.54,Matches
347,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,23,2002,27,18,1713,19.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
348,Ange-Yoan Bonny,ci CIV,FW,Inter,it Serie A,21,2003,33,10,1142,12.7,5,4,9,5,0,0,1,0,0.39,0.32,0.71,0.39,0.71,Matches
349,Thiago Borbas,uy URU,FW,Oviedo,es La Liga,23,2002,12,0,179,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
350,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
351,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25,2000,27,13,1275,14.2,5,1,6,5,0,0,4,0,0.35,0.07,0.42,0.35,0.42,Matches
352,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
